iid,gender,age,field_cd,date,go_out,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,cluster
132,0,27.0,8.0,7.0,2.0,7.0,2.0,10.0,5.0,7.0,7.0,9.0,1.0,1.0,5.0,9.0,5.0,10.0,3.0,10.0,1.0,10.0,8.0,10.0,10.0,9.0,10.0,1
133,0,24.0,5.0,6.0,5.0,8.0,7.0,6.0,7.0,10.0,8.0,10.0,4.0,3.0,6.0,4.0,8.0,7.0,10.0,9.0,7.0,6.0,6.0,8.0,7.0,8.0,7.0,4
134,0,23.0,10.0,5.0,3.0,7.0,4.0,4.0,8.0,9.0,6.0,7.0,8.0,6.0,8.0,5.0,9.0,5.0,7.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,4
135,0,26.0,3.0,7.0,2.0,3.0,1.0,1.0,1.0,9.0,9.0,10.0,1.0,7.0,7.0,1.0,8.0,7.0,10.0,10.0,2.0,9.0,9.0,10.0,7.0,9.0,6.0,6
137,1,26.0,8.0,4.0,1.0,6.0,1.0,8.0,8.0,4.0,4.0,1.0,5.0,7.0,4.0,7.0,1.0,9.0,9.0,10.0,8.0,3.0,7.0,9.0,8.0,9.0,8.0,1
138,1,32.0,8.0,3.0,2.0,7.0,2.0,9.0,8.0,6.0,6.0,1.0,7.0,7.0,9.0,9.0,4.0,9.0,2.0,9.0,6.0,2.0,8.0,8.0,8.0,8.0,8.0,1
139,1,37.0,5.0,6.0,3.0,7.0,5.0,8.0,10.0,9.0,9.0,6.0,5.0,6.0,10.0,8.0,7.0,10.0,8.0,9.0,7.0,8.0,8.0,8.0,9.0,9.0,6.0,0
140,1,29.0,8.0,5.0,2.0,8.0,6.0,8.0,9.0,5.0,5.0,5.0,5.0,7.0,9.0,6.0,7.0,6.0,4.0,5.0,4.0,3.0,7.0,7.0,9.0,8.0,8.0,1
141,1,28.0,8.0,6.0,2.0,10.0,10.0,3.0,9.0,5.0,5.0,7.0,5.0,7.0,3.0,8.0,9.0,10.0,8.0,9.0,6.0,6.0,7.0,9.0,8.0,8.0,6.0,4
142,0,24.0,13.0,5.0,2.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,14.0,7.0,6.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,9.0,9.0,9.0,10.0,7.0,4
143,0,33.0,1.0,7.0,4.0,4.0,5.0,6.0,8.0,9.0,9.0,6.0,4.0,8.0,9.0,5.0,7.0,7.0,7.0,7.0,6.0,4.0,7.0,10.0,7.0,8.0,7.0,0
144,0,23.0,10.0,5.0,2.0,10.0,7.0,9.0,6.0,6.0,6.0,4.0,3.0,7.0,7.0,5.0,4.0,7.0,9.0,8.0,7.0,4.0,7.0,8.0,8.0,9.0,9.0,1
145,0,24.0,10.0,7.0,1.0,2.0,1.0,2.0,9.0,9.0,5.0,2.0,2.0,1.0,8.0,10.0,10.0,10.0,5.0,8.0,9.0,2.0,5.0,5.0,7.0,9.0,7.0,3
146,0,36.0,6.0,7.0,1.0,5.0,2.0,5.0,5.0,8.0,8.0,3.0,1.0,3.0,10.0,8.0,8.0,8.0,5.0,8.0,8.0,3.0,8.0,8.0,8.0,8.0,8.0,0
147,0,26.0,8.0,5.0,1.0,8.0,7.0,8.0,9.0,9.0,9.0,5.0,2.0,8.0,10.0,8.0,9.0,8.0,6.0,6.0,7.0,10.0,8.0,7.0,8.0,9.0,7.0,4
148,0,27.0,8.0,4.0,1.0,7.0,4.0,6.0,9.0,9.0,9.0,5.0,2.0,1.0,10.0,10.0,9.0,9.0,5.0,7.0,9.0,7.0,8.0,9.0,9.0,9.0,8.0,4
149,0,28.0,13.0,5.0,2.0,8.0,4.0,5.0,8.0,8.0,8.0,8.0,3.0,6.0,6.0,6.0,5.0,8.0,7.0,10.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,3
150,0,31.0,7.0,5.0,2.0,5.0,1.0,3.0,5.0,3.0,3.0,9.0,1.0,5.0,7.0,1.0,1.0,7.0,5.0,4.0,2.0,10.0,7.0,9.0,8.0,9.0,8.0,2
151,0,28.0,13.0,3.0,1.0,5.0,1.0,8.0,10.0,9.0,8.0,8.0,4.0,1.0,8.0,1.0,9.0,8.0,9.0,10.0,7.0,7.0,9.0,10.0,10.0,10.0,8.0,3
152,0,27.0,13.0,4.0,3.0,4.0,1.0,4.0,8.0,9.0,8.0,5.0,5.0,7.0,10.0,5.0,9.0,10.0,9.0,9.0,7.0,1.0,7.0,9.0,8.0,10.0,8.0,3
153,0,28.0,7.0,6.0,3.0,8.0,5.0,7.0,7.0,7.0,6.0,6.0,5.0,7.0,10.0,6.0,7.0,9.0,7.0,7.0,8.0,5.0,7.0,7.0,6.0,7.0,6.0,4
154,0,27.0,8.0,4.0,1.0,10.0,7.0,8.0,8.0,6.0,6.0,6.0,1.0,6.0,8.0,7.0,7.0,8.0,6.0,6.0,3.0,2.0,8.0,9.0,9.0,9.0,9.0,1
155,0,27.0,8.0,5.0,1.0,2.0,1.0,10.0,10.0,7.0,8.0,5.0,1.0,1.0,10.0,4.0,10.0,9.0,5.0,7.0,7.0,4.0,7.0,10.0,6.0,8.0,9.0,3
156,0,30.0,8.0,6.0,3.0,3.0,7.0,10.0,10.0,10.0,10.0,8.0,7.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,8.0,8.0,10.0,10.0,9.0,10.0,4
157,0,28.0,8.0,6.0,1.0,8.0,7.0,8.0,8.0,6.0,6.0,9.0,2.0,9.0,7.0,4.0,6.0,7.0,5.0,6.0,6.0,3.0,7.0,8.0,9.0,8.0,9.0,1
158,1,23.0,10.0,6.0,2.0,2.0,4.0,4.0,6.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,5.0,8.0,4.0,9.0,5.0,1.0,7.0,9.0,7.0,9.0,6.0,2
159,1,28.0,10.0,6.0,2.0,7.0,7.0,6.0,9.0,9.0,8.0,6.0,4.0,5.0,8.0,7.0,7.0,9.0,8.0,9.0,7.0,2.0,5.0,9.0,8.0,9.0,7.0,4
160,1,29.0,8.0,5.0,2.0,9.0,8.0,10.0,6.0,6.0,4.0,3.0,4.0,8.0,6.0,3.0,7.0,9.0,6.0,9.0,3.0,2.0,8.0,8.0,9.0,8.0,9.0,1
161,1,22.0,10.0,4.0,2.0,9.0,9.0,9.0,8.0,7.0,6.0,7.0,7.0,9.0,9.0,8.0,6.0,8.0,6.0,9.0,6.0,2.0,8.0,7.0,9.0,9.0,7.0,4
162,1,27.0,10.0,6.0,2.0,3.0,3.0,3.0,8.0,7.0,7.0,6.0,2.0,8.0,5.0,4.0,3.0,9.0,10.0,10.0,7.0,3.0,7.0,8.0,7.0,9.0,8.0,3
163,1,26.0,9.0,3.0,3.0,6.0,2.0,2.0,4.0,8.0,8.0,4.0,1.0,1.0,8.0,1.0,6.0,6.0,4.0,6.0,2.0,1.0,7.0,8.0,8.0,9.0,7.0,2
164,1,27.0,7.0,6.0,2.0,7.0,5.0,5.0,6.0,7.0,7.0,7.0,1.0,3.0,7.0,2.0,5.0,6.0,4.0,6.0,2.0,2.0,7.0,9.0,6.0,9.0,4.0,2
165,1,30.0,13.0,6.0,3.0,3.0,1.0,6.0,6.0,7.0,7.0,2.0,1.0,1.0,10.0,8.0,8.0,8.0,5.0,5.0,2.0,2.0,8.0,6.0,7.0,9.0,2.0,3
166,1,26.0,8.0,5.0,2.0,5.0,5.0,9.0,4.0,4.0,2.0,5.0,1.0,3.0,9.0,1.0,5.0,8.0,7.0,10.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,2
167,1,23.0,10.0,6.0,2.0,9.0,9.0,8.0,6.0,8.0,8.0,9.0,2.0,5.0,6.0,5.0,6.0,8.0,6.0,7.0,3.0,2.0,6.0,7.0,7.0,7.0,5.0,1
168,1,23.0,10.0,4.0,2.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,2
169,1,28.0,10.0,6.0,2.0,10.0,7.0,8.0,9.0,9.0,7.0,7.0,1.0,6.0,4.0,2.0,7.0,6.0,8.0,8.0,4.0,4.0,7.0,9.0,7.0,8.0,7.0,1
170,1,28.0,10.0,5.0,3.0,2.0,1.0,8.0,8.0,8.0,8.0,5.0,3.0,1.0,9.0,8.0,7.0,8.0,6.0,8.0,4.0,5.0,7.0,8.0,6.0,9.0,8.0,3
171,1,29.0,8.0,4.0,2.0,8.0,2.0,8.0,8.0,5.0,5.0,5.0,2.0,8.0,9.0,6.0,6.0,9.0,4.0,9.0,7.0,1.0,10.0,10.0,10.0,10.0,10.0,1
172,1,27.0,8.0,3.0,1.0,7.0,8.0,7.0,8.0,4.0,5.0,5.0,6.0,8.0,7.0,4.0,6.0,8.0,8.0,7.0,6.0,3.0,5.0,6.0,9.0,8.0,9.0,1
173,1,22.0,2.0,4.0,1.0,10.0,8.0,9.0,6.0,5.0,6.0,7.0,4.0,8.0,7.0,4.0,5.0,6.0,9.0,10.0,3.0,6.0,7.0,9.0,9.0,9.0,9.0,5
174,0,29.0,8.0,5.0,3.0,5.0,4.0,6.0,6.0,8.0,8.0,4.0,4.0,6.0,8.0,4.0,6.0,5.0,9.0,9.0,6.0,5.0,9.0,10.0,8.0,8.0,6.0,0
175,0,23.0,13.0,3.0,1.0,8.0,2.0,6.0,8.0,7.0,7.0,3.0,3.0,6.0,6.0,5.0,6.0,5.0,6.0,9.0,5.0,3.0,7.0,10.0,8.0,8.0,9.0,1
176,0,28.0,8.0,6.0,3.0,7.0,6.0,5.0,10.0,10.0,9.0,7.0,4.0,4.0,5.0,5.0,8.0,8.0,8.0,8.0,6.0,3.0,6.0,9.0,7.0,8.0,6.0,4
177,0,22.0,13.0,5.0,2.0,5.0,9.0,6.0,8.0,6.0,4.0,2.0,3.0,7.0,9.0,7.0,6.0,7.0,3.0,4.0,5.0,1.0,9.0,9.0,8.0,9.0,9.0,1
178,0,35.0,3.0,4.0,2.0,3.0,4.0,7.0,9.0,8.0,8.0,8.0,2.0,9.0,8.0,8.0,8.0,8.0,8.0,9.0,6.0,8.0,9.0,9.0,7.0,8.0,7.0,0
179,0,30.0,6.0,6.0,3.0,5.0,5.0,10.0,10.0,7.0,7.0,5.0,1.0,7.0,10.0,1.0,8.0,8.0,7.0,9.0,10.0,9.0,8.0,10.0,6.0,8.0,10.0,0
180,0,24.0,8.0,4.0,2.0,7.0,7.0,5.0,9.0,5.0,5.0,8.0,5.0,9.0,6.0,7.0,9.0,9.0,7.0,8.0,9.0,7.0,9.0,9.0,10.0,9.0,9.0,4
181,0,22.0,4.0,5.0,5.0,3.0,6.0,5.0,9.0,9.0,9.0,6.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,6.0,9.0,9.0,9.0,9.0,9.0,6
182,0,22.0,4.0,4.0,3.0,5.0,6.0,2.0,8.0,3.0,2.0,1.0,4.0,1.0,7.0,8.0,2.0,6.0,4.0,10.0,8.0,1.0,8.0,8.0,8.0,8.0,10.0,5
183,0,24.0,11.0,7.0,3.0,9.0,6.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,7.0,8.0,8.0,9.0,9.0,10.0,8.0,1.0,9.0,7.0,9.0,9.0,7.0,4
184,1,34.0,8.0,4.0,2.0,5.0,2.0,4.0,8.0,8.0,7.0,8.0,3.0,8.0,8.0,3.0,9.0,8.0,5.0,6.0,2.0,8.0,6.0,10.0,7.0,9.0,5.0,0
185,1,25.0,2.0,7.0,4.0,8.0,7.0,8.0,8.0,8.0,9.0,6.0,7.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,10.0,10.0,7.0,8.0,8.0,4
186,1,24.0,5.0,7.0,3.0,5.0,1.0,4.0,9.0,5.0,3.0,6.0,1.0,1.0,6.0,7.0,4.0,7.0,8.0,8.0,6.0,3.0,4.0,8.0,4.0,7.0,6.0,2
187,1,26.0,8.0,4.0,1.0,3.0,5.0,10.0,5.0,10.0,10.0,1.0,2.0,1.0,10.0,5.0,8.0,8.0,10.0,10.0,1.0,1.0,8.0,9.0,7.0,10.0,7.0,3
188,1,21.0,5.0,3.0,1.0,2.0,1.0,5.0,10.0,8.0,8.0,5.0,7.0,5.0,7.0,3.0,5.0,5.0,5.0,7.0,7.0,3.0,7.0,5.0,7.0,10.0,10.0,6
189,1,27.0,1.0,6.0,2.0,8.0,7.0,8.0,5.0,7.0,7.0,7.0,7.0,7.0,9.0,5.0,7.0,9.0,7.0,8.0,4.0,7.0,8.0,8.0,8.0,8.0,9.0,5
190,1,25.0,13.0,7.0,3.0,7.0,7.0,8.0,3.0,2.0,2.0,6.0,5.0,9.0,8.0,2.0,4.0,7.0,9.0,10.0,3.0,1.0,7.0,7.0,7.0,7.0,7.0,1
191,1,28.0,8.0,4.0,2.0,8.0,1.0,7.0,8.0,6.0,6.0,6.0,1.0,8.0,7.0,3.0,4.0,8.0,4.0,7.0,1.0,7.0,7.0,7.0,6.0,7.0,8.0,1
192,1,24.0,8.0,6.0,2.0,7.0,5.0,7.0,7.0,3.0,2.0,6.0,8.0,7.0,9.0,6.0,3.0,6.0,7.0,8.0,4.0,5.0,7.0,10.0,9.0,9.0,10.0,1
193,1,25.0,1.0,6.0,2.0,8.0,10.0,7.0,9.0,9.0,8.0,1.0,1.0,4.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,5.0,7.0,9.0,5.0,10.0,7.0,5
194,0,24.0,3.0,3.0,2.0,8.0,6.0,6.0,9.0,6.0,6.0,4.0,8.0,7.0,9.0,9.0,6.0,9.0,5.0,7.0,9.0,4.0,9.0,10.0,8.0,10.0,10.0,5
195,0,27.0,10.0,2.0,1.0,7.0,6.0,9.0,8.0,5.0,5.0,9.0,9.0,8.0,10.0,1.0,3.0,4.0,3.0,6.0,5.0,1.0,9.0,8.0,10.0,10.0,8.0,1
196,0,25.0,7.0,1.0,1.0,3.0,3.0,6.0,7.0,7.0,7.0,8.0,6.0,8.0,6.0,8.0,9.0,9.0,9.0,9.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,6
197,0,24.0,13.0,4.0,3.0,6.0,1.0,4.0,10.0,8.0,8.0,4.0,7.0,5.0,9.0,6.0,5.0,10.0,8.0,10.0,7.0,3.0,7.0,8.0,9.0,9.0,7.0,3
198,0,23.0,13.0,2.0,3.0,6.0,8.0,6.0,9.0,8.0,8.0,9.0,5.0,7.0,4.0,9.0,9.0,9.0,9.0,9.0,10.0,4.0,7.0,9.0,7.0,9.0,7.0,4
199,0,30.0,7.0,5.0,3.0,8.0,3.0,10.0,10.0,10.0,10.0,1.0,1.0,7.0,10.0,4.0,7.0,8.0,3.0,5.0,7.0,1.0,9.0,7.0,7.0,9.0,9.0,0
200,0,25.0,8.0,7.0,2.0,10.0,3.0,9.0,8.0,7.0,7.0,10.0,3.0,6.0,8.0,1.0,8.0,8.0,9.0,10.0,3.0,4.0,8.0,10.0,8.0,8.0,8.0,1
201,0,25.0,8.0,4.0,2.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,8.0,9.0,9.0,8.0,4
202,0,22.0,2.0,6.0,2.0,8.0,8.0,9.0,7.0,6.0,4.0,4.0,1.0,6.0,8.0,7.0,7.0,9.0,6.0,7.0,7.0,1.0,7.0,10.0,9.0,10.0,8.0,5
203,0,22.0,2.0,6.0,2.0,3.0,1.0,8.0,6.0,4.0,2.0,2.0,1.0,6.0,7.0,10.0,6.0,8.0,3.0,7.0,9.0,2.0,9.0,8.0,9.0,10.0,7.0,5
204,0,26.0,8.0,5.0,1.0,10.0,5.0,9.0,9.0,10.0,10.0,3.0,1.0,9.0,8.0,4.0,5.0,5.0,3.0,8.0,10.0,7.0,9.0,5.0,9.0,10.0,10.0,1
205,0,23.0,10.0,7.0,1.0,8.0,2.0,6.0,8.0,6.0,6.0,7.0,2.0,6.0,9.0,3.0,3.0,8.0,5.0,6.0,3.0,5.0,7.0,8.0,9.0,10.0,5.0,1
206,0,31.0,8.0,5.0,1.0,5.0,5.0,5.0,9.0,7.0,7.0,7.0,7.0,9.0,9.0,5.0,7.0,7.0,7.0,9.0,5.0,7.0,8.0,8.0,8.0,8.0,8.0,0
207,0,23.0,10.0,3.0,1.0,10.0,8.0,8.0,7.0,5.0,5.0,2.0,3.0,4.0,3.0,7.0,7.0,6.0,5.0,7.0,9.0,6.0,8.0,8.0,10.0,8.0,9.0,1
208,0,25.0,10.0,4.0,3.0,9.0,7.0,7.0,9.0,10.0,10.0,10.0,5.0,8.0,8.0,5.0,7.0,9.0,10.0,10.0,9.0,8.0,9.0,10.0,10.0,10.0,10.0,4
209,0,28.0,13.0,6.0,2.0,3.0,2.0,6.0,8.0,5.0,5.0,6.0,8.0,8.0,3.0,6.0,7.0,8.0,7.0,10.0,3.0,3.0,7.0,9.0,8.0,7.0,8.0,3
210,0,29.0,10.0,6.0,3.0,9.0,3.0,9.0,8.0,9.0,9.0,9.0,1.0,2.0,9.0,5.0,7.0,7.0,7.0,7.0,5.0,1.0,8.0,8.0,6.0,9.0,9.0,0
211,0,28.0,13.0,4.0,1.0,9.0,8.0,9.0,10.0,9.0,9.0,5.0,8.0,1.0,9.0,9.0,10.0,10.0,9.0,7.0,10.0,7.0,7.0,9.0,9.0,9.0,9.0,4
212,0,27.0,8.0,5.0,2.0,8.0,5.0,8.0,8.0,8.0,8.0,8.0,6.0,9.0,8.0,8.0,8.0,8.0,6.0,7.0,8.0,3.0,7.0,9.0,7.0,8.0,9.0,4
213,0,25.0,13.0,4.0,2.0,8.0,7.0,9.0,8.0,8.0,7.0,6.0,7.0,7.0,8.0,7.0,10.0,10.0,8.0,9.0,8.0,5.0,8.0,10.0,9.0,9.0,9.0,4
214,1,23.0,10.0,6.0,2.0,9.0,3.0,10.0,8.0,6.0,7.0,7.0,4.0,7.0,3.0,1.0,9.0,6.0,4.0,6.0,7.0,1.0,8.0,10.0,10.0,9.0,8.0,1
215,1,26.0,8.0,4.0,1.0,8.0,6.0,9.0,9.0,6.0,4.0,2.0,7.0,6.0,9.0,5.0,2.0,9.0,2.0,7.0,9.0,2.0,7.0,8.0,9.0,9.0,9.0,1
216,1,27.0,8.0,5.0,3.0,2.0,1.0,2.0,7.0,7.0,5.0,3.0,5.0,1.0,13.0,6.0,6.0,7.0,6.0,5.0,2.0,1.0,5.0,10.0,9.0,9.0,10.0,2
217,1,26.0,10.0,4.0,2.0,1.0,2.0,8.0,7.0,8.0,8.0,10.0,1.0,2.0,10.0,4.0,8.0,6.0,10.0,10.0,1.0,7.0,7.0,10.0,7.0,10.0,10.0,3
218,1,24.0,10.0,4.0,2.0,9.0,3.0,5.0,7.0,9.0,10.0,7.0,3.0,7.0,5.0,1.0,5.0,7.0,8.0,8.0,6.0,1.0,7.0,6.0,3.0,10.0,10.0,1
219,1,26.0,8.0,3.0,2.0,8.0,2.0,7.0,7.0,7.0,8.0,3.0,3.0,6.0,7.0,2.0,6.0,7.0,7.0,10.0,3.0,10.0,7.0,7.0,6.0,9.0,6.0,1
220,1,25.0,13.0,5.0,2.0,9.0,9.0,5.0,10.0,9.0,10.0,10.0,6.0,8.0,10.0,2.0,5.0,5.0,5.0,9.0,5.0,5.0,10.0,10.0,10.0,10.0,10.0,4
221,1,27.0,8.0,6.0,3.0,5.0,6.0,3.0,7.0,6.0,3.0,4.0,3.0,7.0,8.0,7.0,8.0,8.0,4.0,4.0,4.0,1.0,7.0,9.0,7.0,9.0,9.0,2
222,1,27.0,2.0,6.0,3.0,5.0,1.0,6.0,8.0,10.0,9.0,6.0,4.0,7.0,9.0,1.0,9.0,9.0,10.0,8.0,3.0,1.0,4.0,9.0,7.0,9.0,4.0,6
223,1,28.0,7.0,4.0,2.0,8.0,7.0,6.0,6.0,8.0,7.0,6.0,7.0,8.0,9.0,6.0,5.0,10.0,6.0,7.0,5.0,2.0,7.0,8.0,7.0,9.0,6.0,1
224,1,32.0,3.0,7.0,4.0,6.0,4.0,4.0,7.0,5.0,5.0,5.0,6.0,8.0,10.0,1.0,8.0,9.0,2.0,4.0,1.0,8.0,8.0,10.0,8.0,8.0,8.0,0
225,1,28.0,8.0,7.0,2.0,10.0,8.0,3.0,8.0,8.0,8.0,7.0,3.0,9.0,8.0,8.0,9.0,7.0,9.0,9.0,2.0,6.0,5.0,9.0,7.0,6.0,7.0,4
226,1,23.0,8.0,3.0,1.0,10.0,7.0,8.0,6.0,7.0,7.0,3.0,2.0,8.0,4.0,5.0,6.0,7.0,4.0,9.0,2.0,4.0,10.0,10.0,10.0,10.0,10.0,1
227,1,26.0,8.0,6.0,3.0,7.0,7.0,7.0,10.0,9.0,7.0,2.0,6.0,5.0,10.0,8.0,8.0,9.0,5.0,7.0,5.0,1.0,7.0,10.0,8.0,10.0,10.0,4
228,1,24.0,10.0,7.0,3.0,3.0,1.0,2.0,8.0,4.0,5.0,8.0,4.0,6.0,9.0,2.0,4.0,7.0,8.0,9.0,2.0,8.0,5.0,8.0,4.0,7.0,8.0,2
229,1,28.0,10.0,6.0,3.0,8.0,5.0,7.0,7.0,1.0,1.0,5.0,3.0,3.0,8.0,5.0,1.0,5.0,2.0,6.0,1.0,1.0,8.0,7.0,5.0,10.0,10.0,2
230,1,42.0,13.0,7.0,3.0,1.0,1.0,2.0,1.0,10.0,10.0,10.0,1.0,1.0,10.0,10.0,10.0,10.0,5.0,10.0,10.0,6.0,6.0,6.0,6.0,6.0,6.0,0
231,1,30.0,13.0,6.0,3.0,5.0,2.0,7.0,9.0,9.0,6.0,8.0,1.0,9.0,9.0,1.0,8.0,9.0,9.0,10.0,1.0,7.0,8.0,8.0,8.0,9.0,3.0,0
232,1,31.0,13.0,5.0,4.0,5.0,5.0,9.0,8.0,7.0,8.0,9.0,3.0,8.0,7.0,4.0,6.0,8.0,7.0,7.0,3.0,5.0,8.0,8.0,8.0,8.0,6.0,0
233,1,29.0,13.0,3.0,2.0,10.0,9.0,8.0,10.0,8.0,8.0,7.0,9.0,8.0,5.0,10.0,8.0,10.0,10.0,10.0,8.0,6.0,7.0,8.0,8.0,7.0,8.0,4
234,0,22.0,3.0,7.0,3.0,5.0,3.0,10.0,10.0,9.0,5.0,2.0,1.0,4.0,9.0,5.0,6.0,5.0,5.0,9.0,7.0,4.0,7.0,7.0,8.0,8.0,10.0,6
235,0,23.0,9.0,4.0,3.0,1.0,3.0,3.0,10.0,9.0,10.0,2.0,1.0,7.0,7.0,1.0,9.0,9.0,6.0,10.0,10.0,7.0,6.0,9.0,9.0,8.0,9.0,3
236,0,24.0,10.0,7.0,1.0,9.0,6.0,3.0,7.0,9.0,9.0,7.0,1.0,8.0,7.0,5.0,4.0,7.0,4.0,10.0,4.0,2.0,7.0,9.0,10.0,8.0,8.0,1
237,0,34.0,7.0,7.0,4.0,1.0,1.0,10.0,7.0,8.0,9.0,9.0,1.0,1.0,10.0,6.0,8.0,6.0,2.0,9.0,2.0,10.0,8.0,10.0,7.0,8.0,8.0,0
238,0,27.0,15.0,2.0,1.0,8.0,5.0,8.0,8.0,10.0,10.0,8.0,2.0,8.0,7.0,5.0,9.0,9.0,10.0,10.0,7.0,6.0,10.0,9.0,10.0,9.0,8.0,4
239,0,34.0,10.0,6.0,3.0,3.0,3.0,5.0,8.0,8.0,7.0,8.0,1.0,6.0,9.0,6.0,8.0,8.0,6.0,7.0,1.0,8.0,7.0,9.0,7.0,9.0,4.0,0
240,0,26.0,8.0,6.0,3.0,10.0,10.0,9.0,10.0,10.0,8.0,9.0,14.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,3.0,3.0,8.0,5.0,3.0,6.0,4
241,0,29.0,8.0,4.0,2.0,8.0,1.0,5.0,7.0,7.0,7.0,4.0,1.0,3.0,4.0,1.0,3.0,4.0,6.0,7.0,6.0,3.0,8.0,10.0,8.0,8.0,8.0,1
242,0,26.0,3.0,7.0,3.0,6.0,5.0,5.0,8.0,10.0,10.0,9.0,4.0,9.0,10.0,1.0,9.0,10.0,10.0,10.0,1.0,8.0,7.0,9.0,7.0,8.0,4.0,6
243,1,27.0,16.0,6.0,2.0,7.0,2.0,7.0,9.0,5.0,8.0,5.0,7.0,3.0,9.0,5.0,5.0,9.0,8.0,8.0,6.0,2.0,7.0,9.0,8.0,9.0,5.0,3
244,1,28.0,8.0,5.0,3.0,5.0,2.0,10.0,8.0,6.0,4.0,9.0,1.0,3.0,13.0,9.0,8.0,9.0,3.0,4.0,3.0,1.0,7.0,10.0,7.0,10.0,10.0,2
245,1,32.0,7.0,5.0,2.0,3.0,1.0,2.0,6.0,7.0,8.0,4.0,8.0,6.0,9.0,2.0,7.0,8.0,6.0,6.0,1.0,6.0,5.0,7.0,6.0,8.0,7.0,0
246,1,25.0,10.0,7.0,6.0,6.0,5.0,5.0,7.0,5.0,5.0,3.0,2.0,6.0,8.0,8.0,9.0,9.0,8.0,9.0,5.0,2.0,7.0,8.0,6.0,7.0,6.0,3
247,1,25.0,10.0,6.0,4.0,5.0,4.0,7.0,1.0,3.0,2.0,9.0,4.0,2.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0,6.0,5.0,10.0,2.0,8.0,4.0,2
248,1,27.0,8.0,4.0,1.0,7.0,1.0,8.0,7.0,5.0,1.0,8.0,6.0,8.0,6.0,3.0,7.0,7.0,4.0,7.0,6.0,1.0,5.0,6.0,8.0,8.0,8.0,1
249,1,33.0,8.0,3.0,1.0,7.0,9.0,1.0,10.0,8.0,6.0,1.0,1.0,6.0,10.0,7.0,3.0,8.0,8.0,5.0,4.0,1.0,7.0,9.0,7.0,10.0,7.0,0
250,1,25.0,6.0,2.0,1.0,7.0,2.0,8.0,10.0,10.0,10.0,6.0,1.0,2.0,10.0,1.0,9.0,9.0,10.0,10.0,6.0,5.0,10.0,9.0,9.0,10.0,10.0,6
251,1,33.0,7.0,4.0,1.0,7.0,6.0,1.0,6.0,8.0,8.0,5.0,8.0,4.0,9.0,7.0,6.0,9.0,6.0,8.0,2.0,3.0,8.0,10.0,9.0,10.0,9.0,0
252,0,28.0,13.0,6.0,2.0,4.0,3.0,3.0,8.0,7.0,6.0,7.0,4.0,9.0,9.0,2.0,9.0,9.0,9.0,9.0,9.0,2.0,9.0,9.0,9.0,9.0,10.0,3
253,0,33.0,3.0,6.0,6.0,5.0,3.0,5.0,8.0,10.0,10.0,6.0,1.0,6.0,10.0,7.0,7.0,10.0,7.0,7.0,7.0,3.0,8.0,10.0,9.0,8.0,7.0,0
254,0,22.0,7.0,6.0,2.0,8.0,2.0,6.0,10.0,9.0,9.0,8.0,1.0,7.0,9.0,8.0,9.0,9.0,7.0,7.0,7.0,8.0,8.0,7.0,8.0,10.0,8.0,6
255,0,26.0,10.0,7.0,3.0,6.0,8.0,9.0,6.0,6.0,6.0,4.0,2.0,5.0,6.0,4.0,7.0,7.0,8.0,8.0,9.0,1.0,6.0,8.0,6.0,7.0,6.0,1
256,0,24.0,4.0,6.0,4.0,5.0,3.0,6.0,7.0,6.0,5.0,6.0,5.0,5.0,5.0,8.0,6.0,8.0,8.0,8.0,9.0,3.0,6.0,9.0,6.0,8.0,6.0,6
257,0,24.0,9.0,5.0,1.0,7.0,1.0,6.0,9.0,10.0,10.0,10.0,3.0,4.0,10.0,2.0,5.0,10.0,10.0,10.0,4.0,10.0,7.0,9.0,7.0,9.0,10.0,3
258,0,25.0,9.0,6.0,1.0,9.0,6.0,7.0,7.0,8.0,3.0,10.0,4.0,1.0,10.0,3.0,8.0,5.0,2.0,6.0,6.0,2.0,6.0,10.0,8.0,9.0,5.0,2
