iid,gender,attr1_2,sinc1_2,intel1_2,fun1_2,amb1_2,shar1_2,attr2_2,sinc2_2,intel2_2,fun2_2,amb2_2,shar2_2
464,1,20,20,20,20,10,10,30,20,20,20,5,5
465,1,,,,,,,,,,,,
466,0,25,15,15,15,10,30,30,10,10,15,10,25
467,0,20,20,20,20,20,0,40,10,15,15,10,10
468,0,15,25,15,20,15,10,30,15,15,20,10,10
469,0,30,20,10,20,10,10,40,10,10,20,10,10
470,0,20,15,30,20,10,5,60,10,5,15,5,5
471,0,25,10,20,10,15,20,30,15,10,20,10,15
472,0,20,15,20,30,5,10,35,10,10,25,10,10
473,0,15,20,20,15,15,15,20,15,15,20,15,15
474,0,15,20,15,30,5,15,60,10,10,5,5,5
475,0,10,15,25,15,15,20,25,5,15,25,10,20
476,0,,,,,,,,,,,,
477,0,18,19,15,17,15,16,21,17,15,19,12,16
478,0,,,,,,,,,,,,
479,0,,,,,,,,,,,,
480,0,17,13,19,20,12,29,16,20,13,21,8,20
481,1,25,15,10,25,0,25,30,15,10,15,20,10
482,1,20,15,20,15,15,15,20,15,20,15,15,15
483,1,40,20,20,20,0,0,30,40,10,0,10,10
484,1,10,25,25,15,15,10,25,10,25,15,15,10
485,1,20,20,15,15,15,15,15,20,15,15,20,15
486,1,15,25,20,15,15,10,15,20,20,15,20,10
487,1,20,20,15,20,5,20,15,15,20,20,15,15
488,1,10,20,20,20,20,10,20,20,20,20,10,10
489,1,30,10,20,20,10,10,10,20,20,20,20,10
490,1,40,15,10,10,10,15,25,15,20,15,20,5
491,1,30,20,20,20,5,5,30,20,10,20,10,10
492,1,50,5,30,10,0,5,30,30,30,0,10,0
493,1,30,15,15,30,5,5,20,20,10,20,15,15
494,1,20,15,10,25,5,25,15,20,20,10,20,15
495,1,20,16,16,16,16,16,16,20,16,16,16,16
496,0,20,20,20,20,0,0,20,20,20,20,0,0
497,0,,,,,,,,,,,,
498,0,,,,,,,,,,,,
499,0,19,19,19,19,5,19,80,0,10,10,0,0
500,0,40,5,40,5,5,5,70,5,5,10,5,5
501,0,30,10,20,10,10,20,50,10,5,15,5,15
502,1,30,20,20,10,10,10,20,20,20,10,15,15
503,1,25,30,40,0,0,5,30,15,15,15,15,10
504,1,40,0,40,10,0,10,30,20,20,20,5,5
505,1,,,,,,,,,,,,
506,1,20,25,15,10,10,20,20,20,20,20,20,20
507,1,20,20,20,20,10,10,40,10,20,20,5,5
508,1,18,10,18,18,18,18,17,20,15,20,18,10
509,0,10,20,10,20,10,30,70,5,5,10,5,5
510,0,30,20,20,10,10,10,30,20,10,20,10,10
511,0,20,10,10,20,20,20,40,5,10,20,5,20
512,0,40,10,10,10,5,25,60,5,5,5,5,20
513,0,,,,,,,,,,,,
514,0,20,20,20,20,0,20,30,20,10,30,0,10
515,0,25,25,25,10,5,10,40,15,15,15,5,10
516,0,35,10,15,20,10,10,40,10,10,15,5,20
517,0,20,20,20,10,10,20,20,20,15,25,10,10
518,0,25,20,30,25,5,5,30,10,10,40,5,5
519,0,,,,,,,,,,,,
520,0,20,15,20,20,10,15,40,10,5,30,5,10
521,0,10,20,20,20,15,15,25,10,15,20,10,20
522,0,15,15,20,20,10,20,20,15,20,20,10,15
523,0,20,25,20,25,0,10,45,20,5,20,0,10
524,0,20,20,20,15,15,10,25,15,15,20,10,15
525,0,5,15,25,25,20,10,50,5,5,25,5,10
526,0,30,5,20,20,15,15,70,5,5,10,5,5
527,0,25,10,10,10,10,35,50,10,10,10,10,10
528,0,40,10,30,10,10,0,50,0,15,15,5,15
529,0,10,25,25,15,15,20,25,10,10,20,15,20
530,0,10,20,10,20,10,30,30,20,10,15,10,15
531,1,30,30,20,20,0,0,50,10,0,40,0,0
532,1,,,,,,,,,,,,
533,1,25,15,20,20,10,10,30,20,15,25,5,5
534,1,40,10,20,10,5,15,20,30,10,20,15,5
535,1,20,15,20,15,10,20,20,15,15,15,20,15
536,1,70,5,5,5,10,5,60,10,5,5,10,10
537,1,25,5,25,15,0,30,25,5,15,10,20,25
538,1,70,0,0,30,0,0,50,10,10,20,10,0
539,1,30,20,10,10,10,10,30,20,20,10,10,10
540,1,20,20,20,20,10,10,15,20,10,15,15,20
541,1,50,20,0,15,0,15,60,0,10,20,0,10
542,1,30,20,10,20,10,10,40,0,10,30,10,10
543,1,30,15,15,15,15,10,25,20,15,15,15,10
544,1,10,20,10,20,20,20,20,20,10,20,10,20
545,1,20,15,20,15,15,15,10,20,10,20,30,10
546,1,30,10,20,30,0,10,30,20,10,30,0,10
547,1,,,,,,,,,,,,
548,1,40,10,20,10,0,20,30,20,20,0,10,20
549,1,20,15,20,25,5,5,40,10,15,25,10,0
550,1,60,5,10,10,10,5,70,5,5,10,5,5
551,1,75,5,5,5,5,5,50,10,10,10,10,10
552,1,70,0,15,10,0,5,50,5,10,20,5,10
