iid,gender,age,field_cd,race,date,go_out,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,expnum,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1
235,0,23,9,2,4,3,1,3,3,10,9,10,2,1,7,7,1,9,9,6,10,10,7,,6,9,9,8,9
236,0,24,10,4,7,1,9,6,3,7,9,9,7,1,8,7,5,4,7,4,10,4,2,,7,9,10,8,8
237,0,34,7,2,7,4,1,1,10,7,8,9,9,1,1,10,6,8,6,2,9,2,10,,8,10,7,8,8
238,0,27,15,2,2,1,8,5,8,8,10,10,8,2,8,7,5,9,9,10,10,7,6,,10,9,10,9,8
239,0,34,10,2,6,3,3,3,5,8,8,7,8,1,6,9,6,8,8,6,7,1,8,,7,9,7,9,4
240,0,26,8,4,6,3,10,10,9,10,10,8,9,14,9,10,10,10,10,10,10,10,3,,3,8,5,3,6
241,0,29,8,4,4,2,8,1,5,7,7,7,4,1,3,4,1,3,4,6,7,6,3,,8,10,8,8,8
242,0,26,3,3,7,3,6,5,5,8,10,10,9,4,9,10,1,9,10,10,10,1,8,,7,9,7,8,4
243,1,27,16,2,6,2,7,2,7,9,5,8,5,7,3,9,5,5,9,8,8,6,2,,7,9,8,9,5
244,1,28,8,2,5,3,5,2,10,8,6,4,9,1,3,13,9,8,9,3,4,3,1,,7,10,7,10,10
245,1,32,7,2,5,2,3,1,2,6,7,8,4,8,6,9,2,7,8,6,6,1,6,,5,7,6,8,7
246,1,25,10,2,7,6,6,5,5,7,5,5,3,2,6,8,8,9,9,8,9,5,2,,7,8,6,7,6
247,1,25,10,4,6,4,5,4,7,1,3,2,9,4,2,5,3,3,3,3,3,2,6,,5,10,2,8,4
248,1,27,8,6,4,1,7,1,8,7,5,1,8,6,8,6,3,7,7,4,7,6,1,,5,6,8,8,8
249,1,33,8,6,3,1,7,9,1,10,8,6,1,1,6,10,7,3,8,8,5,4,1,,7,9,7,10,7
250,1,25,6,6,2,1,7,2,8,10,10,10,6,1,2,10,1,9,9,10,10,6,5,,10,9,9,10,10
251,1,33,7,6,4,1,7,6,1,6,8,8,5,8,4,9,7,6,9,6,8,2,3,,8,10,9,10,9
252,0,28,13,3,6,2,4,3,3,8,7,6,7,4,9,9,2,9,9,9,9,9,2,,9,9,9,9,10
253,0,33,3,4,6,6,5,3,5,8,10,10,6,1,6,10,7,7,10,7,7,7,3,,8,10,9,8,7
254,0,22,7,2,6,2,8,2,6,10,9,9,8,1,7,9,8,9,9,7,7,7,8,,8,7,8,10,8
255,0,26,10,4,7,3,6,8,9,6,6,6,4,2,5,6,4,7,7,8,8,9,1,,6,8,6,7,6
256,0,24,4,4,6,4,5,3,6,7,6,5,6,5,5,5,8,6,8,8,8,9,3,,6,9,6,8,6
257,0,24,9,2,5,1,7,1,6,9,10,10,10,3,4,10,2,5,10,10,10,4,10,,7,9,7,9,10
258,0,25,9,6,6,1,9,6,7,7,8,3,10,4,1,10,3,8,5,2,6,6,2,,6,10,8,9,5
259,0,25,10,2,7,1,8,3,7,8,7,7,4,2,7,8,6,7,7,5,7,5,6,,7,9,8,8,9
260,0,27,10,4,7,3,9,6,7,9,5,5,6,2,3,9,6,7,7,9,9,5,3,,6,9,7,9,6
261,0,26,10,4,7,2,6,4,3,9,9,8,3,5,8,9,2,9,9,9,9,4,6,,5,8,7,7,8
262,0,29,3,2,6,3,9,9,8,7,7,3,7,1,3,10,4,1,7,5,8,1,1,,6,10,5,9,3
263,0,26,3,1,6,2,1,1,1,5,7,7,7,1,3,9,4,7,7,7,8,9,6,,8,8,8,8,5
264,0,26,6,2,6,2,7,1,7,5,7,8,6,1,5,9,7,4,8,2,6,2,1,,8,7,8,9,5
265,0,32,1,2,5,2,2,9,8,8,7,8,2,1,2,10,6,7,10,8,9,2,1,,7,9,7,10,10
266,0,28,16,2,7,3,5,4,5,4,7,8,8,1,6,5,1,4,10,6,7,2,6,,8,8,7,7,4
267,0,26,10,4,3,3,4,8,5,9,7,6,4,7,8,3,9,5,9,4,9,10,2,,7,6,5,7,7
268,0,24,4,3,6,1,8,6,6,5,4,3,6,5,5,8,4,5,5,4,4,4,4,,9,9,8,9,9
269,0,24,7,2,6,2,4,1,8,8,8,10,7,3,1,10,3,6,6,6,9,4,2,,8,8,6,8,7
270,0,23,10,4,5,1,8,4,6,9,8,7,8,4,6,9,2,7,5,6,7,6,4,,5,4,7,8,6
271,0,23,11,2,4,1,8,7,10,9,10,10,5,5,6,7,7,9,9,9,8,9,5,,9,10,10,9,10
272,0,25,11,2,4,1,6,7,10,10,9,8,7,6,8,9,9,9,9,9,10,9,8,,9,10,10,9,10
273,1,29,10,2,5,2,6,1,5,7,7,4,8,1,3,2,5,7,8,8,8,3,2,,7,10,5,7,7
274,1,24,3,3,4,2,3,3,4,7,6,5,4,5,1,10,7,6,8,9,10,8,7,,7,7,10,9,9
275,1,21,5,2,4,3,9,1,10,6,7,7,4,6,5,10,1,9,7,7,9,5,9,,10,7,6,10,10
276,1,26,10,2,4,1,6,2,8,9,8,9,2,3,6,9,1,4,7,6,7,2,2,,7,6,7,10,8
277,1,25,10,2,7,5,10,6,10,5,8,8,10,5,3,8,2,7,8,6,6,1,2,,4,8,8,8,5
278,1,32,5,2,3,1,8,1,5,9,9,9,9,5,8,9,5,7,9,9,9,5,1,,8,8,8,8,8
279,1,25,10,2,4,2,7,1,6,5,2,3,5,3,4,9,6,3,8,1,2,1,1,,8,9,6,10,7
280,1,25,10,2,6,2,8,1,5,5,6,5,5,4,2,10,2,7,10,7,8,2,2,,5,9,5,8,6
281,1,27,3,2,5,5,4,4,2,4,7,5,8,1,2,6,2,6,8,7,5,3,9,,7,8,6,8,5
282,1,23,5,1,4,3,10,10,10,5,4,4,4,7,8,9,5,7,7,7,10,5,1,,7,9,9,7,10
283,1,27,5,4,4,2,9,6,6,6,4,4,8,6,6,8,1,5,3,3,7,2,7,,9,9,9,9,9
284,1,27,8,2,5,2,9,2,5,7,7,9,8,1,5,9,5,5,9,8,9,8,5,,7,6,7,8,7
285,1,24,5,6,6,6,5,7,6,10,9,10,9,14,5,9,7,3,10,10,10,10,10,,8,10,10,10,8
286,1,22,2,2,6,3,7,3,4,3,8,7,9,9,4,8,6,8,7,8,6,3,8,,3,6,6,7,7
287,1,22,13,4,7,3,2,1,5,7,2,2,9,6,4,10,8,8,10,8,8,8,8,,7,10,5,7,10
288,1,27,3,2,6,3,9,5,3,8,5,5,6,4,4,9,2,6,7,5,7,2,2,,5,8,7,8,7
289,1,28,8,4,4,1,10,6,1,7,3,6,10,5,3,10,6,5,7,6,8,2,1,,4,9,10,8,8
290,1,34,10,2,5,2,7,1,8,7,7,4,3,2,1,10,1,3,5,9,10,2,5,,5,4,5,10,9
291,1,27,10,4,3,2,9,7,7,7,7,7,5,6,5,7,5,6,7,5,8,5,5,,6,9,7,9,9
292,1,28,13,1,2,1,10,5,8,8,7,5,10,7,9,7,4,7,9,5,10,1,1,,8,10,8,10,10
293,1,28,8,3,5,2,6,9,7,10,8,7,6,6,8,9,6,9,9,8,8,6,4,,7,10,9,9,9
294,0,30,9,4,6,2,7,8,4,9,10,10,1,1,7,10,3,10,9,7,8,8,5,,9,10,7,9,7
295,0,30,9,2,6,1,7,8,8,5,7,5,3,1,2,10,7,10,10,8,8,5,8,,7,10,8,8,8
296,0,28,9,2,4,2,4,5,2,8,8,7,6,5,9,9,9,8,7,8,10,9,7,,8,9,6,10,9
297,0,21,9,2,2,1,5,2,8,8,10,10,3,3,5,10,8,10,10,8,8,8,6,,8,10,9,8,9
298,0,22,6,2,6,2,3,1,3,5,10,10,3,1,4,10,5,10,10,10,10,9,7,,7,10,9,10,10
299,0,24,11,4,6,2,7,1,7,8,9,8,9,4,9,9,6,7,9,7,9,5,4,,6,9,9,8,9
300,0,35,3,2,6,2,8,2,8,9,10,10,7,2,5,8,2,10,8,8,10,4,2,,8,9,9,9,10
301,0,34,9,2,4,1,5,3,9,10,7,8,5,1,5,9,5,9,10,9,9,5,9,,9,9,8,9,8
302,0,21,3,2,3,1,10,10,9,7,5,6,6,6,8,5,7,7,7,9,9,6,6,,8,8,8,8,10
303,0,33,9,2,5,1,7,1,9,9,9,7,7,1,1,10,2,9,9,8,9,5,1,,8,10,9,8,6
304,0,28,3,2,7,2,10,1,8,7,7,8,2,1,4,8,1,8,9,7,7,8,9,,6,10,10,8,8
305,0,29,9,4,4,1,8,2,7,10,7,7,8,2,7,8,7,8,9,7,7,9,8,,7,9,8,9,5
306,0,22,9,4,6,3,6,6,9,8,5,5,7,4,5,6,9,9,9,5,5,9,5,,6,9,8,8,8
307,0,27,9,4,7,2,10,8,10,9,8,9,10,1,5,10,7,10,10,8,10,9,3,,5,8,7,8,8
308,1,27,9,4,7,2,7,7,7,8,8,8,8,7,3,7,9,8,9,7,8,7,7,,7,10,8,8,7
309,1,32,9,2,3,2,6,4,4,9,8,10,8,5,7,9,6,8,9,8,10,4,4,,7,8,9,9,7
310,1,25,5,2,3,1,2,2,3,7,6,6,3,8,5,9,8,7,9,5,6,5,3,,7,6,8,7,4
311,1,29,8,4,6,1,10,8,9,10,7,6,8,9,1,7,4,6,8,10,10,9,8,,9,9,10,9,3
312,1,23,15,2,4,2,7,7,5,7,9,8,10,5,3,8,5,6,9,7,8,2,1,,8,7,7,9,9
313,1,27,8,2,4,1,9,8,6,8,6,3,6,1,9,6,3,2,7,8,10,5,1,,7,8,8,8,6
314,1,32,13,6,6,2,9,2,7,8,6,4,2,2,2,6,7,3,7,6,8,8,8,,8,8,8,9,7
315,1,27,5,2,5,3,8,2,2,8,8,8,8,2,8,7,1,8,9,7,7,2,2,,6,10,6,8,7
316,1,25,8,2,4,1,9,3,5,7,6,6,6,4,6,9,5,4,4,7,9,4,1,,6,8,7,8,9
317,1,30,8,2,4,1,8,1,5,10,6,10,4,3,8,4,1,10,10,8,9,1,1,,7,3,8,8,5
318,1,29,8,6,6,1,8,4,8,6,4,5,7,7,7,7,6,7,8,5,8,7,6,,6,10,6,10,10
319,1,26,9,2,7,2,8,7,5,7,5,4,8,7,1,5,7,2,2,10,9,2,3,,5,10,6,9,3
320,1,36,7,2,5,5,4,1,9,9,8,4,6,3,1,10,1,5,7,2,5,2,1,,8,8,9,9,7
321,1,29,8,2,5,1,7,4,4,8,5,5,4,2,7,5,2,6,8,6,7,2,1,,6,8,7,7,8
322,0,34,3,4,2,2,8,7,7,6,6,6,9,3,6,7,2,8,8,8,8,3,1,,5,9,8,7,7
323,0,25,5,4,4,3,5,7,7,7,8,7,7,6,6,7,8,9,9,8,8,8,6,,7,9,6,8,3
324,0,23,3,2,4,2,8,8,6,10,8,8,9,6,9,7,8,10,8,10,10,7,7,,9,9,9,9,8
325,0,30,3,3,6,2,5,7,9,9,9,9,7,7,7,9,7,9,9,9,9,4,6,,7,9,7,8,8
326,0,36,9,1,6,4,2,2,3,8,8,8,2,2,6,9,6,10,8,10,10,10,8,,8,9,6,9,8
327,0,29,13,2,6,3,1,1,5,10,8,7,7,1,6,10,1,9,8,9,9,1,5,,7,7,9,8,10
328,0,30,9,2,3,1,8,3,10,10,10,10,10,1,5,10,7,10,10,10,10,5,10,,7,10,8,10,10
329,0,29,9,2,6,2,3,2,7,7,10,10,3,1,4,10,2,10,7,6,8,2,1,,8,9,5,8,8
330,0,22,5,4,7,3,8,7,7,8,5,5,2,2,9,5,7,2,8,4,9,5,2,,8,10,9,7,9
331,0,34,9,2,6,3,4,7,4,6,7,7,10,2,1,9,3,7,7,9,9,4,10,,7,9,9,7,4
332,1,30,3,4,7,4,7,2,8,5,10,10,7,3,7,9,5,8,10,5,9,7,1,,5,10,6,6,10
333,1,23,8,2,3,1,10,5,10,7,3,1,10,5,3,8,2,4,8,2,4,3,6,,7,4,7,9,9
334,1,29,8,4,5,3,9,4,9,9,8,8,5,6,8,5,5,6,6,3,5,8,5,,8,7,8,8,9
335,1,24,3,2,3,3,9,1,9,4,7,7,4,1,4,8,6,5,4,3,8,5,7,,8,7,9,8,8
336,1,25,17,3,5,2,5,4,4,5,8,10,4,1,1,9,4,6,10,10,10,3,4,,5,9,7,7,9
337,1,28,5,2,5,3,9,9,8,8,8,7,5,4,6,7,5,7,8,7,6,4,4,,6,6,6,6,6
338,1,27,5,6,4,2,4,2,7,6,8,8,8,6,6,8,4,10,10,7,7,5,10,,7,9,7,9,10
339,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,0,23,13,4,6,1,1,2,1,10,9,9,8,1,6,10,10,10,10,10,10,9,10,,7,9,9,7,9
342,0,33,9,3,6,3,3,4,4,10,9,10,1,1,8,7,10,8,10,1,4,10,4,,10,10,10,10,10
343,0,32,10,2,2,1,6,3,3,10,10,10,8,2,3,5,4,8,9,9,9,9,7,,4,8,6,10,7
344,0,26,13,3,4,3,9,7,5,6,7,6,4,3,9,4,4,9,9,9,9,9,5,,7,7,8,8,9
345,0,24,10,2,7,4,5,1,10,6,5,5,3,4,8,9,6,7,7,8,9,6,9,,7,9,7,9,7
346,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,0,26,9,1,6,1,1,1,2,10,3,3,1,1,8,2,5,3,8,1,7,10,1,,8,6,10,10,10
348,0,21,9,4,6,1,3,5,1,10,10,10,2,1,9,10,7,10,7,7,7,10,5,,6,10,10,10,10
349,0,33,3,2,4,2,2,3,10,8,7,8,7,1,6,7,4,8,8,8,9,6,7,,7,8,8,9,7
350,0,31,10,2,7,3,9,2,10,9,8,8,8,7,7,9,9,9,9,9,9,5,7,,7,10,6,8,8
351,0,35,9,4,5,4,5,2,5,10,10,10,7,2,3,10,3,10,10,10,10,5,5,,8,10,7,8,9
352,0,29,9,6,4,3,8,5,10,10,10,10,8,4,5,5,8,9,9,10,10,7,7,,9,10,9,9,8
353,0,25,9,4,2,1,3,4,5,8,9,9,8,8,5,6,4,9,9,8,9,8,5,,6,6,6,6,6
354,0,22,3,2,6,1,10,10,10,10,8,8,1,1,1,8,10,10,10,10,10,10,6,,7,7,10,8,8
355,0,24,3,2,4,3,9,1,7,8,7,7,7,1,9,9,2,9,9,9,9,9,2,,6,10,8,8,8
356,0,27,3,2,7,2,10,9,8,10,8,5,7,1,5,8,9,8,9,7,10,5,6,,7,10,8,9,6
357,0,27,9,4,4,2,2,6,10,10,10,10,8,1,7,10,6,10,8,7,7,8,1,,6,10,7,7,6
358,0,26,8,4,5,3,6,2,7,10,4,5,2,4,9,9,6,5,8,4,5,7,3,,8,7,8,8,7
359,0,26,6,2,6,3,2,1,1,7,2,2,6,8,1,10,3,7,8,8,8,1,4,,7,10,2,9,8
360,0,24,3,6,6,2,9,7,6,9,7,8,9,9,1,7,6,7,7,10,10,7,8,,8,10,8,8,8
361,1,34,1,2,6,6,3,1,3,5,9,10,3,3,4,10,6,8,9,7,7,3,2,,7,7,5,7,9
362,1,30,1,2,4,3,8,2,1,9,6,6,6,4,7,6,4,6,6,6,6,7,2,,7,7,9,8,8
363,1,23,5,4,6,2,3,3,9,10,4,5,8,6,9,7,5,5,8,7,5,8,5,,5,7,8,8,3
364,1,27,8,3,4,2,9,7,9,9,4,3,3,5,1,9,5,4,7,5,6,8,1,,8,8,8,9,9
365,1,30,8,2,2,1,7,3,3,9,9,10,8,4,8,8,1,5,7,9,10,5,5,,8,2,9,9,9
366,1,27,8,2,4,1,6,6,4,8,9,9,7,6,8,9,4,6,7,10,10,8,6,,6,8,9,8,10
367,1,27,13,2,4,1,6,7,8,8,5,5,3,4,8,5,6,3,3,7,8,7,2,,7,7,8,7,5
368,1,24,13,6,4,2,4,6,4,8,9,7,3,8,9,9,9,7,9,8,9,8,4,,6,8,8,8,7
369,1,25,3,2,5,3,2,6,2,6,7,7,7,1,1,10,3,7,5,6,8,1,1,,6,9,9,10,7
370,1,28,8,2,4,1,7,8,7,7,6,6,3,1,6,7,2,2,2,5,9,4,1,,8,6,9,9,9
371,1,27,8,2,7,1,10,7,7,3,3,3,3,3,3,4,5,3,6,10,10,1,7,,10,8,10,10,10
372,1,27,8,2,5,2,9,10,8,9,9,9,7,4,2,9,6,8,6,7,7,4,2,,7,8,8,9,8
373,1,29,8,3,5,2,7,5,8,8,7,6,3,5,9,8,2,3,4,5,9,8,2,,9,8,9,9,9
374,1,30,8,4,4,2,10,10,8,7,8,8,5,5,6,5,6,9,10,9,8,4,4,,6,7,6,7,7
375,1,27,8,2,3,1,9,8,5,8,4,4,2,2,7,5,6,5,6,3,6,7,3,,8,9,9,8,9
376,1,25,8,4,5,2,4,1,4,10,5,6,7,7,3,3,9,7,9,5,6,9,5,,6,10,8,9,10
377,1,26,8,4,5,1,7,9,6,6,3,3,1,7,8,6,8,5,8,7,8,6,2,,7,8,8,7,7
378,1,29,8,2,5,2,9,5,10,5,4,4,2,1,8,7,3,3,8,5,8,5,2,,6,7,7,9,7
379,0,38,8,2,7,2,4,4,6,7,8,8,7,2,2,6,7,7,9,6,6,3,5,,6,9,6,8,9
380,0,33,14,1,7,4,7,8,8,8,5,5,3,1,5,5,7,7,10,9,9,9,9,,4,7,9,9,9
381,0,24,14,2,4,1,5,5,5,7,8,8,6,5,6,9,6,4,8,7,8,8,7,,7,7,10,9,8
382,0,28,14,2,7,3,6,5,10,10,9,9,6,8,3,8,10,8,10,9,9,9,1,,7,7,7,7,10
383,0,27,9,2,6,2,9,7,9,9,8,8,5,1,5,6,9,4,9,8,7,7,4,,7,9,7,6,6
384,0,23,9,2,5,3,8,5,7,9,10,10,3,3,7,6,7,10,10,5,6,6,3,,8,8,9,8,9
385,0,25,9,2,5,3,7,5,8,10,10,10,10,6,8,9,6,10,10,8,10,9,8,,8,8,6,8,6
386,0,26,3,2,7,2,1,3,5,8,7,7,2,5,7,8,8,9,9,8,8,8,3,,7,8,9,9,9
387,0,25,3,2,7,2,5,5,8,8,6,6,4,3,8,7,7,8,8,7,7,8,2,,8,8,8,8,8
388,0,24,3,2,4,2,7,4,8,7,3,3,5,3,4,7,6,6,7,6,6,6,4,,8,8,7,8,8
389,0,21,1,2,3,1,7,8,5,8,7,7,10,2,1,10,7,8,8,10,10,7,8,,8,10,9,7,5
390,0,30,9,4,4,3,6,1,6,10,6,6,8,1,4,10,6,8,8,8,8,4,6,,8,8,8,8,8
391,0,28,6,2,4,1,8,1,6,8,6,7,9,1,9,9,1,3,5,5,5,4,2,,8,9,9,9,7
392,0,26,6,2,4,3,4,3,3,9,10,9,9,1,3,10,6,8,10,5,10,7,7,,4,7,7,8,7
393,0,22,6,2,7,1,3,2,3,5,9,9,4,3,4,9,6,7,8,7,7,5,4,,7,9,8,8,8
394,0,24,6,2,4,2,3,1,4,9,8,8,10,1,1,10,6,9,9,8,7,7,2,,9,8,7,7,7
395,0,33,6,2,4,2,3,4,4,10,8,8,6,1,8,9,3,10,10,7,9,7,8,,8,8,7,9,7
396,0,25,15,4,7,2,3,8,7,10,10,10,7,7,7,10,9,10,10,10,10,7,7,,8,10,10,10,8
397,1,24,1,2,5,2,9,8,8,6,7,7,6,2,6,7,5,7,8,4,7,5,1,,7,7,7,10,9
398,1,29,8,2,3,1,4,1,2,10,7,7,9,9,8,7,7,7,9,6,5,6,2,,7,6,10,7,8
399,1,29,8,2,4,2,9,2,9,9,9,9,7,3,5,9,1,6,7,8,10,3,8,,9,9,9,9,9
400,1,26,8,2,4,2,7,4,7,7,6,6,6,1,8,7,1,7,7,6,7,1,1,,7,10,6,8,7
401,1,31,8,2,4,1,10,1,4,8,8,8,8,2,5,5,1,8,8,10,10,7,3,,8,5,7,10,5
402,1,29,2,4,4,2,10,2,6,9,6,6,9,7,4,3,3,5,8,4,4,6,9,,6,8,7,10,9
403,1,22,5,2,5,3,9,8,3,7,4,3,5,3,3,5,6,5,8,3,6,2,1,,4,8,7,9,9
404,1,23,5,2,5,2,10,5,8,10,8,8,9,7,9,8,4,5,8,7,8,6,3,,6,9,7,8,8
405,1,30,13,1,5,5,6,1,6,9,8,9,2,6,8,8,6,10,9,7,9,9,5,,8,8,10,9,10
406,1,27,8,4,6,2,4,6,8,9,6,7,8,6,6,7,7,8,9,7,10,2,1,,6,7,8,8,9
407,1,24,14,2,4,2,8,4,7,9,9,9,7,4,2,9,5,7,10,9,9,7,7,,7,9,8,7,8
408,1,24,13,3,7,1,7,7,9,8,9,8,3,5,1,6,2,4,8,6,10,2,1,,8,7,10,8,9
409,1,23,5,2,6,3,10,4,1,4,7,8,10,2,8,7,2,6,8,10,10,5,2,,7,9,8,9,8
410,1,27,8,2,5,1,10,8,5,8,1,1,8,10,1,8,2,2,4,4,5,1,1,,7,10,6,10,10
411,1,34,8,2,4,1,7,6,6,7,7,6,3,3,1,8,1,7,6,7,10,8,3,,8,6,9,7,5
412,1,27,8,2,5,2,10,10,10,5,8,8,0,7,3,8,6,5,5,8,8,4,4,,7,7,8,8,8
413,1,26,8,2,,2,6,7,5,7,5,3,5,5,4,6,8,6,9,6,6,7,0,,7,9,7,8,6
414,1,29,8,2,1,1,10,5,9,5,0,0,5,5,0,8,7,0,0,0,1,2,0,,,,,,
415,1,31,8,2,4,2,1,1,6,6,7,5,1,1,3,10,1,6,6,3,7,1,1,,7,8,4,10,8
416,0,25,3,3,4,1,4,1,8,8,7,6,6,1,8,7,8,5,7,5,10,4,3,,,,,,
417,0,29,3,2,5,3,6,1,4,5,8,8,8,3,5,7,2,6,7,7,6,3,8,,7,8,4,8,8
418,0,25,1,4,7,2,2,2,5,9,7,8,6,5,6,10,8,8,10,7,9,7,7,,7,9,7,8,5
419,0,28,11,2,2,1,6,2,5,8,5,6,5,2,9,9,8,9,9,6,6,4,7,,9,8,5,9,3
420,0,22,11,2,4,2,8,4,5,10,8,8,7,4,3,9,7,8,7,4,5,6,4,,8,9,7,10,7
421,0,25,11,4,4,3,1,1,1,8,5,5,1,5,5,5,8,10,10,5,10,10,5,,7,7,6,6,6
422,1,26,8,2,4,2,7,2,8,9,9,9,10,2,4,7,5,9,8,6,6,7,9,,8,10,8,8,8
423,1,30,8,2,4,1,9,2,9,8,7,7,7,6,5,9,5,5,8,7,5,5,4,,7,9,8,9,9
424,1,24,5,4,6,3,7,7,7,7,5,5,6,7,5,5,7,5,8,5,7,8,5,,7,7,7,7,7
425,1,28,8,2,4,2,7,8,8,8,7,6,5,2,7,5,5,6,7,5,7,2,2,,6,9,6,9,9
426,1,24,8,2,2,1,7,2,7,8,6,4,3,2,6,5,3,7,6,6,6,4,2,,8,8,8,10,9
427,1,28,13,2,7,3,10,1,10,8,7,7,9,1,3,8,1,4,5,7,10,1,10,,7,10,8,7,9
428,1,27,8,4,2,1,6,5,5,9,6,7,6,5,6,7,5,6,7,5,7,7,3,,8,8,7,9,9
429,1,27,8,2,2,2,7,8,8,9,8,8,8,6,7,9,8,8,8,8,8,7,6,,8,8,9,9,8
430,0,22,9,4,6,2,10,10,10,6,3,2,4,2,4,4,8,9,9,8,8,5,4,,5,8,8,5,8
431,0,27,9,4,7,3,10,9,7,10,10,10,10,5,4,10,7,7,5,8,10,10,3,,7,10,7,9,10
432,0,28,11,2,6,3,2,2,2,10,10,10,7,1,6,6,4,9,8,8,7,5,5,,7,8,8,8,8
433,0,30,15,6,6,3,3,3,8,8,8,8,8,1,6,7,5,7,8,5,5,5,3,,8,6,7,8,5
434,0,27,11,2,4,2,4,2,9,6,3,3,3,2,7,2,6,2,2,4,7,8,4,,7,7,8,6,4
435,0,22,1,1,7,2,5,5,6,9,8,8,3,2,9,9,1,8,7,9,9,10,10,,7,9,9,9,9
436,0,23,1,2,6,1,8,5,9,10,8,7,8,5,1,9,10,8,10,6,10,10,4,,9,8,10,7,6
437,0,23,11,2,4,1,6,7,7,8,9,9,8,5,6,9,7,10,10,10,10,5,6,,7,9,9,9,8
438,0,23,11,2,4,1,3,1,8,9,5,5,8,4,7,6,5,7,9,10,9,8,3,,7,8,7,7,7
439,0,29,9,2,3,2,8,4,8,9,8,9,6,1,7,9,6,4,9,9,9,6,6,,8,8,7,7,7
440,1,21,1,2,7,2,10,10,10,10,7,7,7,3,1,3,5,5,10,8,10,8,5,,8,8,9,9,9
441,1,24,1,2,7,1,6,1,6,7,7,8,7,14,9,9,8,9,10,10,10,7,2,,8,7,8,9,8
442,1,25,1,2,6,1,7,1,7,5,1,1,7,1,8,6,1,1,5,3,5,2,1,,7,9,8,8,9
443,1,27,13,3,6,2,9,5,7,8,5,5,5,3,7,6,1,6,7,8,8,4,5,,7,10,9,7,7
444,1,26,8,2,4,2,8,8,9,2,6,8,6,2,5,2,7,1,10,3,5,5,6,,8,7,9,8,7
445,1,30,13,2,5,2,9,6,8,8,5,3,9,5,9,10,5,4,10,8,9,5,1,,9,8,7,10,7
446,1,28,8,3,4,3,9,2,9,8,8,7,6,3,6,6,5,6,6,5,8,3,3,,6,8,9,7,5
447,1,26,13,4,7,2,7,5,6,8,3,2,6,2,5,6,3,4,8,4,9,2,4,,6,10,6,7,4
448,1,22,1,2,2,1,3,2,4,9,8,9,3,5,9,7,3,6,7,6,10,6,5,,8,9,8,9,10
449,1,23,1,6,3,1,8,2,6,8,7,5,5,3,1,9,7,6,9,2,6,4,1,,7,10,10,10,8
450,1,25,13,2,6,2,7,3,9,9,9,9,9,9,3,5,7,9,10,9,10,5,10,,9,6,7,10,10
451,1,30,8,4,3,3,3,3,2,4,4,3,3,4,3,6,7,5,7,7,8,6,6,,2,4,4,4,4
452,1,29,8,4,5,3,9,6,8,7,8,7,8,7,9,8,7,8,9,8,10,5,3,,7,8,7,10,8
453,1,27,1,4,6,5,6,3,5,6,6,5,6,5,3,6,6,4,7,6,5,4,1,,5,6,7,8,5
454,0,27,15,2,7,3,5,8,5,9,9,9,7,1,4,9,4,9,9,8,8,4,9,,8,9,9,9,7
455,0,24,10,4,6,2,3,5,3,10,10,7,7,1,8,10,4,8,9,8,9,9,7,,7,9,9,8,8
456,0,29,8,4,6,1,1,1,8,8,7,7,6,2,8,8,4,7,7,6,6,8,8,,8,8,6,7,7
457,0,55,6,4,7,3,1,2,1,8,9,9,10,1,1,10,4,7,3,10,8,1,1,,7,6,7,8,3
458,0,29,8,4,4,1,9,1,6,10,8,6,9,3,6,9,7,8,8,4,1,10,9,,10,10,9,10,10
459,0,26,8,4,5,3,1,3,1,9,8,9,1,1,6,4,6,8,8,8,8,8,1,,5,5,5,5,8
460,1,33,7,2,4,2,9,7,10,10,10,10,8,1,7,9,10,6,9,10,10,1,5,,8,8,7,9,7
461,1,27,5,6,7,4,9,8,9,9,7,7,9,8,6,2,2,7,6,6,6,4,4,,6,8,9,8,7
462,1,33,5,4,6,6,8,7,5,2,6,6,1,2,7,3,8,5,7,6,9,2,2,,4,9,6,8,2
463,1,23,10,4,7,1,5,4,7,5,4,3,3,5,4,5,4,4,4,4,7,3,1,,6,7,7,8,7
464,1,33,8,4,3,1,10,9,6,7,3,3,5,5,9,3,4,6,7,7,7,2,1,,5,8,8,9,10
465,1,23,7,2,7,3,4,8,1,3,8,8,4,1,4,9,2,1,3,10,10,1,1,,7,10,8,7,5
466,0,24,18,2,7,1,4,2,9,8,5,6,4,3,2,8,5,5,7,6,8,4,2,,7,9,7,8,8
467,0,24,8,2,2,1,8,4,9,9,9,9,8,5,8,9,8,9,9,9,9,9,9,,8,8,8,8,8
468,0,25,13,6,6,3,8,3,7,7,7,8,8,2,6,8,7,5,9,9,9,7,6,,8,9,6,8,8
469,0,25,13,4,3,1,10,7,7,7,7,7,3,3,4,7,9,7,7,7,8,6,9,,8,8,8,6,6
470,0,29,4,4,4,2,1,1,1,10,10,10,2,1,3,10,5,10,10,6,6,10,1,,4,9,5,8,6
